=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:41:20 =~=~=~=~=~=~=~=~=~=~=~=
07; +2011;  -695
  +669; +3925;   +43;  +304; +4020;   -47
  +734; +3953;  +251;  +339; +4185;   -43
  +736; +3974;  +516;  +353; +4347;   -33
  +815; +3986;  +744;  +407; +4464;   -35
  +730; +3895; +1028;  +365; +4637;   -41
  +624; +3888; +1066;  +275; +4799;   -25
  +537; +3873; +1073;  +170; +4946;   -18
  +502; +3895; +1027;  +116; +5085;   -10
  +546; +3965;  +917;  +158; +5221;   -19
  +646; +3989;  +641;  +195; +5362;    +1
  +757; +3984;  +484;  +277; +5445;    -2
  +845; +3913;  +504;  +312; +5558;    +7
  +799; +3949;  +456;  +333; +5660;    +7
  +768; +3917;  +641;  +360; +5742;    -6
  +662; +3942;  +882;  +420; +5821;    +3
  +554; +3937; +1162;  +455; +5842;    -1
  +538; +3886; +1292;  +420; +5867;   +13
  +505; +3889; +1332;  +365; +6003;   +43
  +532; +3864; +1480;  +237; +5895;   +19
  +625; +3915; +1331;  +206; +6068;   +38
  +649; +3938; +1281;  +206; +6100;   +50
  +724; +3942; +1033;  +286; +6084;   +46
  +675; +3952;  +930;  +307; +6059;   +45
  +610; +3963;  +689;  +336; +5931;   +56
  +566; +3946;  +716;  +378; +6058;   +50
  +529; +3959;  +810;  +393; +6117;   +49
  +577; +3955; +1023;  +461; +6073;   +59
  +599; +3957; +1121;  +494; +6030;   +43
  +636; +3933; +1337;  +474; +5882;   +42
  +698; +3862; +1395;  +377; +6062;   +60
  +668; +3871; +1344;  +282; +5886;   +64
  +657; +3885; +1330;  +236; +5977;   +56
  +574; +3927; +1240;  +257; +5857;   +58
  +554; +3960; +1004;  +278; +5962;   +59
  +591; +3938;  +748;  +291; +5875;   +53
  +610; +3933;  +556;  +309; +5878;   +59
  +659; +3955;  +479;  +308; +5945;   +46
  +698; +3963;  +483;  +352; +5844;   +51
  +679; +3960;  +611;  +417; +5836;   +53
  +682; +3951;  +739;  +447; +5867;   +39
  +604; +3920;  +808;  +404; +5831;   +51
  +549; +3918;  +762;  +303; +5782;   +44
  +582; +3901;  +838;  +223; +5745;   +40
  +573; +3916;  +814;  +169; +5715;   +33
  +613; +3982;  +589;  +156; +5636;   +39
  +643; +3970;  +458;  +157; +5633;   +34
  +680; +3979;  +284;  +173; +5570;   +29
  +691; +3951;  +126;  +162; +5555;   +38
  +645; +4003;   +28;  +158; +5510;   +22
  +528; +3866;   +81;  +228; +5438;   +21
  +346; +4021;  +247;  +183; +5444;   +10
  +812; +4008;  +607;  +304; +5307;    +3
  +776; +3884;  +928;  +299; +5302;    +1
  +895; +3865;  +654;  +144; +5279;   -44
  +954; +3876;  +834;   +82; +5092;   -18
  +611; +3925; +1172;   -73; +5086;   -27
  +591; +3930;  +945;   -99; +4982;   -36
  +481; +3925;  +638;   -87; +4871;   -29
  +321; +3994;  +388;   -69; +4734;   -49
  +485; +3933;  +439;  -102; +4676;   -61
  +594; +3977;   +98;  -136; +4606;   -60
  +660; +4002;  -206;  -107; +4407;   -78
  +825; +3929;  +192;   -60; +4300;   -73
  +619; +4025;  +326;   +41; +4156;   -89
  +534; +4006;  +388;    +6; +4050;   -82
  +397; +3955;  +522;    -2; +3874;   -98
  +188; +3910; +1054;  -114; +3743;   -98
  +357; +3870;  +997;  -249; +3662;   -98
  +421; +3919;  +990;  -250; +3419;   -98
  +499; +3935; +1177;  -313; +3359;  -105
  +749; +3911;  +999;  -292; +3205;  -102
  +643; +3968;  +692;  -348; +3066;  -104
  +667; +3924;  +564;  -321; +2898;  -119
  +525; +3904;  +778;  -311; +2787;  -114
  +284; +3933;  +655;  -283; +2651;  -122
  +337; +4046;  +672;  -223; +2428;  -153
  +587; +3887; +1211;  -183; +2288;  -143
  +501; +3859; +1224;  -259; +2158;  -153
  +732; +3942;  +945;  -406; +1929;  -174
  +972; +3868; +1355;  -423; +1680;  -164
  +637; +3889; +1517;  -472; +1579;  -192
  +526; +3923;  +927;  -473; +1341;  -197
  +213; +3916;  +882;  -513; +1137;  -185
  +153; +3933; +1085;  -558; +1018;  -192
  +312; +3955;  +733;  -551;  +915;  -205
  +483; +3976;  +369;  -474;  +662;  -194
  +727; +3941;  +821;  -411;  +555;  -206
  +707; +3999;  +827;  -368;  +483;  -195
  +613; +3978;  +608;  -387;  +294;  -205
  +519; +3876;  +841;  -432;  +168;  -195
  +215; +3857; +1347;  -488;   +90;  -189
   +49; +4003; +1270;  -588;   +10;  -210
  +245; +3974; +1031;  -564;  -164;  -196
  +481; +3915; +1301;  -614;  -244;  -193
  +723; +384946; +1646;  -221
  +719; +3996;  +105;  -129; +1732;  -208
  +713; +4018;  +136;  -151; +1826;  -202
  +715; +4009;   +89;  -116; +1900;  -191
  +698; +3979;  +127;  -114; +1975;  -177
  +704; +3988;  +152;  -111; +2030;  -169
  +696; +4016;  +179;  -129; +2102;  -173
  +688; +4002;  +183;  -118; +2109;  -158
  +688; +4011;  +199;  -121; +2129;  -160
