=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:41:50 =~=~=~=~=~=~=~=~=~=~=~=
80;  +195;  -526; -4414;  -530
  +881; +3967;  -184;  -135;  -947;   -57
  +869; +3981;  -149;  -140;  -903;   -59
  +821; +3980;  -197;  -129;  -860;   -64
  +856; +3969;  -215;  -127;  -832;   -51
  +870; +3987;  -222;  -125;  -798;   -59
  +871; +3979;  -251;  -122;  -752;   -39
  +864; +3971;  -266;  -117;  -691;   -60
  +880; +3961;  -247;  -126;  -651;   -52
  +877; +3981;  -265;  -117;  -618;   -40
  +871; +3975;  -286;  -122;  -566;   -37
  +866; +3993;  -255;  -130;  -540;   -44
  +852; +3996;  -276;  -125;  -490;   -38
  +853; +3981;  -289;  -113;  -458;   -31
  +865; +3989;  -300;  -121;  -432;   -48
  +857; +3975;  -313;  -104;  -397;   -47
  +855; +3969;  -279;   -95;  -345;   -32
  +863; +3976;  -253;  -104;  -334;   -27
  +853; +3962;  -240;   -95;  -304;   -38
  +889; +3991;  -185;  -108;  -261;   -32
  +872; +3977;  -206;  -118;  -260;   -25
  +868; +3998;  -205;  -104;  -226;   -41
  +861; +3974;  -169;   -99;  -221;   -22
  +883; +3960;  -163;   -99;  -193;   -20
  +889; +3975;  -159;   -98;  -189;   -23
  +855; +3981;  -155;  -109;  -182;   -14
  +868; +3990;  -148;  -107;  -169;    -9
  +884; +3946;  -133;   -93;  -177;   -34
  +886; +3957;   -69;   -95;  -190;   -20
  +860; +3985;  -115;  -105;  -188;   -26
  +895; +3991;  -152;  -103;  -191;   -24
  +895; +3965;  -107;   -92;  -213;   -19
  +874; +3967;  -123;  -103;  -226;   -26
  +899; +3966;  -103;   -89;  -227;   -28
  +882; +3949;  -109;   -96;  -233;   -18
  +897; +3955;   -87;   -99;  -263;   -31
  +892; +3958;   -66;   -96;  -288;   -27
  +887; +3954;   -65;   -96;  -300;   -23
  +877; +3979;   -70;  -108;  -331;   -21
  +864; +3985;   -69;  -109;  -346;   -28
  +901; +3988;   -62;   -95;  -362;   -22
  +880; +3964;   -89;  -106;  -384;   -31
  +877; +3972;   -76;  -102;  -390;   -21
  +861; +3981;  -106;  -101;  -410;   -24
  +875; +3961;   -85;   -86;  -430;   -30
  +877; +3997;  -162;   -92;  -442;   -26
  +888; +3973;  -147;  -102;  -456;   -38
  +902; +3977;  -139;   -97;  -454;   -28
  +878; +3979;  -129;  -100;  -472;   -17
  +899; +3983;  -112;   -98;  -469;   -29
  +892; +3968;  -133;   -88;  -486;   -20
  +855; +3954;  -173;   -98;  -476;   -23
  +883; +3992;  -106;   -95;  -485;   -27
  +860; +3973;  -148;   -95;  -470;   -24
  +905; +3988;  -199;   -99;  -472;   -38
  +886; +3989;  -182;  -101;  -464;   -25
  +870; +3986;  -178;   -95;  -449;   -19
  +863; +3993;  -199;   -92;  -424;   -25
  +893; +3999;  -248;   -86;  -399;   -27
  +882; +3996;  -241;   -87;  -392;   -26
  +854; +3974;  -220;   -79;  -342;   -17
  +857; +3969;  -224;   -92;  -308;    -7
  +887; +3991;  -215;   -85;  -300;   -29
  +901; +3973;  -231;   -82;  -249;   -25
  +874; +3981;  -235;   -64;  -217;   -21
  +854; +4003;  -224;   -73;  -217;   -25
  +905; +3889;  -371;  -123;  -200;   -40
 +1002; +3963;  -160;    -3;  -267;   -20
  +766; +4066;  +114;  -119;   -76;   -25
  +933; +3953;  -391;   -99;  -122;   -28
  +869; +3915;  -160;   -92;  -102;   -13
  +810; +4031;  -198;  -181;   +67;   -19
  +998; +3968;  -255;   -84;   -12;   -16
  +836; +3986;  -338;  -132;  +140;   -17
  +888; +3990;  -524;   -53;  +116;   -15
  +958; +3975;  -237;   -26;  +179;   -21
  +762; +4023;  -313;   -81;  +293;   -23
  +901; +3932;  -435;    +6;  +235;    +0
  +868; +3984;  -180;   -56;  +311;   -14
  +855; +4005;  -130;   -39;  +300;   -13
  +980; +3938;   -58;   -40;  +311;   -20
  +915; +3955;  -160;   -63;  +300;   -17
  +991; +3941;    -2;   -40;  +221;   -22
  +962; +3959;  +108;   -97;  +276;   -20
  +865; +4009;   -72;   -86;  +199;   -11
  +917; +3934;   -15;  -115;  +170;   -18
  +860; +3978;   -95;  -111;  +155;   -26
  +880; +3971;   -56;   -89;  +105;   -32
  +911; +3950;  -128;  -113;  +112;   -28
  +900; +3985;  -266;   -58;   +15;   -23
  +922; +3981;   -87;  -122;   +29;   -39
  +975; +3997;  -227;   -93;   -20;   -40
  +918; +3997;  -183;   -88;   -69;   -47
  +964; +3988;  -119;   -96;   -96;   -56
  +907; +3980;  -179;   -74;  -167;   -47
  +922; +3933;  -101;  -106;  -208;   -54
  +884; +3994;   -45;  -120;  -248;   -57
  +876; +3972;  -133;  -138;  -289;   -62
  +903; +3946;  -140;  -155;  -333;   -54
  +828; +3967;  -193;  -186;  -324;   -71
  +874; +3975;  -253;  -145;  -388;   -61
  +856; +3957;  -347;  -192;  -338;   -54
  +890; +3967;  -438;  -167;  -347;   -53
  +854; +3998;  -385;  -184;  -315;   -54
  +830; +3997;  -557;  -188;  -264;   -46
  +868; +3977;  -585;  -161;  -245;   -58
  +805; +4029;  -440;  -134;  -203;   -45
  +848; +3988;  -432;  -116;  -137;   -45
  +871; +3975;  -419;  -106;  -106;   -40
  +826; +3987;  -404;  -137;   -54;   -36
  +928; +3970;  -359;  -138;   -30;   -40
  +825; +3986;  -223;  -160;   +25;   -40
  +812; +3979;  -227;  -132;   +30;   -34
  +855; +3953;  -231;  -130;  +102;   -31
  +842; +3990;  -223;  -139;   +96;   -32
  +821; +3972;  -168;  -167;  +132;   -24
  +837; +3996;  -112;  -174;  +180;   -27
  +833; +3987;  -227;  -165;  +179;   -23
  +882; +3983;  -107;  -142;  +206;   -18
  +813; +3968;  -108;  -128;  +244;   -21
  +891; +3984;  -180;  -149;  +305;   -11
  +868; +3957;  -262;  -143;  +319;   -16
  +866; +3953;  -181;  -133;  +377;    -7
  +869; +3983;   -44;  -122;  +448;   -10
  +832; +3988;  -213;  -103;  +505;   -21
  +880; +3972;  -213;   -68;  +537;    -2
  +897; +3981;   -51;   -43;  +570;    +5
  +862; +4015;   +67;   -29;  +597;   -15
  +831; +3962;  +100;   -23;  +633;    +4
  +834; +3947;  +116;   -36;  +632;    -9
  +836; +3955;  +273;   -27;  +645;    +1
  +871; +3994;  +368;   -56;  +686;    +3
  +883; +3963;  +234;   -56;  +661;    -2
  +880; +3949;  +247;   -70;  +654;    +8
  +911; +3961;  +238;   -83;  +652;   +12
  +895; +3944;  +219;   -56;  +638;   -10
  +877; +3975;   +59;   -51;  +631;   +13
  +836; +3981;   -37;   -29;  +550;   -18
  +868; +3960;   -29;   -40;  +538;    -7
  +990; +3994;   +29;   +30;  +468;    -4
  +949; +3971;   +79;   +39;  +482;    +5
  +894; +3940;    -9;    +8;  +473;   -20
  +922; +3965;  -112;   -15;  +446;   -17
  +899; +3991;   -81;   -57;  +410;   -13
  +953; +3958;   -14;   -20;  +350;    -8
  +852; +3973;    -4;   -19;  +337;   -12
  +791; +4008;  -141;    -2;  +283;   -27
  +851; +3976;  -160;   +24;  +243;   -21
  +802; +4000;   -76;   -12;  +240;   -11
  +868; +3968;  -109;    +0;  +208;   -17
  +938; +3948;  -125;   -14;  +187;    -2
  +885; +3961;  -122;    +1;  +153;   -22
  +954; +3961;   +12;   -15;  +141;   -17
  +936; +3959;  -107;   -23;  +131;   -20
  +872; +3985;  -154;   -45;  +119;   -19
  +903; +3971;  -178;   -86;  +148;   -22
