=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 18:04:34 =~=~=~=~=~=~=~=~=~=~=~=
;  -266;  -130;  -113;   +43
 -1026; -3437;  -820; +2262;  +974; +2587
  -860; -3505;  -950; +2330; +1001; +2568
 -1083; -3474;  -768; +2223;  +907; +2550
 -1196; -3417;  -440; +2214;  +835; +2538
 -1023; -3308;  -690; +2206;  +874; +2544
  -821; -3330;  -862; +2136;  +816; +2540
  -982; -3326;  -519; +2096;  +799; +2569
 -1125; -3294;  -736; +2021;  +784; +2575
 -1090; -3314;  -317; +2082;  +730; +2615
  -970; -3393;  -364; +2009;  +754; +2624
  -960; -3385;  -341; +2081;  +912; +2614
 -1035; -3405;  -534; +2163; +1181; +2587
 -1137; -3389;    +8; +2169; +1378; +2576
 -1135; -3386;   -92; +2197; +1338; +2579
 -1051; -3399;  -165; +2181; +1356; +2574
 -1033; -3439;  -165; +2186; +1463; +2577
 -1165; -3394;  -284; +2199; +1745; +2612
 -1276; -3460;  -335; +2282; +1986; +2615
 -1173; -3529;  -270; +2345; +2140; +2648
 -1242; -3534;  -348; +2410; +2435; +2643
 -1049; -3542;  -578; +2513; +2814; +2639
  -982; -3544;  -615; +2516; +3136; +2607
 -1086; -3499;  -535; +2542; +3306; +2607
 -1150; -3457;  -693; +2494; +3269; +2595
 -1033; -3474;  -641; +2435; +3101; +2601
  -924; -3493;  -827; +2382; +2903; +2629
 -1057; -3485;  -783; +2321; +2686; +2624
 -1128; -3449;  -605; +2316; +2640; +2651
 -1211; -3428;  -414; +2278; +2796; +2628
 -1061; -3497;  -436; +2286; +2908; +2637
 -1123; -3508;  -528; +2206; +2910; +2623
 -1155; -3512;  -348; +2115; +2855; +2609
 -1229; -3543;  -459; +2094; +2754; +2604
 -1257; -3486;  -410; +2032; +2768; +2604
 -1149; -3569;  -501; +2032; +2718; +2605
 -1186; -3623;  -689; +1947; +2506; +2635
 -1396; -3589;  -568; +1917; +2351; +2633
 -1354; -3626;  -494; +1825; +2204; +2631
 -1184; -3658;  -764; +1736; +2031; +2639
 -1241; -3650;  -759; +1668; +1951; +2622
 -1472; -3584;  -661; +1649; +2173; +2624
 -1460; -3622;  -884; +1699; +2371; +2607
 -1345; -3680;  -641; +1743; +2366; +2621
 -1460; -3680;  -606; +1725; +2261; +2642
 -1423; -3639;  -627; +1675; +2125; +2653
 -1493; -3649;  -615; +1595; +1998; +2673
 -1429; -3653;  -266; +1564; +1942; +2676
 -1446; -3649;  -384; +1515; +1913; +2671
 -1519; -3626;  -377; +1551; +2045; +2672
 -1534; -3597;  -216; +1564; +2209; +2675
 -1530; -3581;  -417; +1612; +2412; +2670
 -1480; -3523;  -439; +1703; +2636; +2692
 -1384; -3569;  -665; +1637; +2535; +2695
 -1592; -3394;  -423; +1657; +2551; +2727
 -1491; -3445;  -620; +1640; +2694; +2718
 -1330; -3477;  -601; +1664; +2836; +2756
 -1540; -3378;  -703; +1641; +3047; +2742
 -1276; -3314;  -898; +1675; +3195; +2724
 -1045; -3406;  -947; +1677; +3248; +2723
 -1266; -3367;  -987; +1708; +3337; +2720
 -1497; -3280;  -691; +1777; +3467; +2717
 -1360; -3367;  -732; +1799; +3715; +2756
