=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2015.12.05 17:40:49 =~=~=~=~=~=~=~=~=~=~=~=
;    +9;  -565; -2421;  -149
 +4465; +1167;  +962; -3892;  -382;+11128
 +4438; +1157;  +899; -3858;  -318;+11098
 +4411; +1094;  +854; -3831;  -242;+11081
 +4395; +1031;  +942; -3811;  -140;+11047
 +4453; +1069;  +918; -3807;   -69;+11021
 +4427;  +964;  +998; -3809;   +24;+10991
 +4416;  +986;  +954; -3767;   +63;+10953
 +4338;  +927;  +906; -3728;  +149;+10934
 +4414;  +829; +1010; -3713;  +189;+10911
 +4421;  +778; +1005; -3680;  +257;+10872
 +4407;  +788;  +968; -3661;  +271;+10852
 +4420;  +730;  +891; -3634;  +288;+10824
 +4434;  +733;  +875; -3585;  +282;+10801
 +4447;  +745;  +755; -3551;  +264;+10786
 +4473;  +709;  +808; -3515;  +242;+10774
 +4501;  +690;  +775; -3458;  +200;+10766
 +4483;  +688;  +854; -3426;  +141;+10752
 +4474;  +653;  +891; -3395;   +97;+10742
 +4521;  +614;  +950; -3339;   +41;+10725
 +4524;  +615;  +881; -3320;   -19;+10717
 +4522;  +603;  +880; -3282;   -69;+10709
 +4519;  +614;  +795; -3236;  -138;+10697
 +4548;  +613;  +692; -3212;  -176;+10709
 +4541;  +557;  +663; -3196;  -191;+10698
 +4563;  +539;  +635; -3151;  -193;+10708
 +4557;  +470;  +601; -3133;  -172;+10710
 +4560;  +422;  +683; -3086;  -106;+10716
 +4586;  +395;  +727; -3069;   -28;+10729
 +4547;  +359;  +816; -3058;   +52;+10759
 +4542;  +305;  +920; -3023;  +138;+10770
 +4537;  +305;  +898; -3007;  +208;+10786
 +4480;  +333;  +876; -2989;  +287;+10793
 +4443;  +330;  +766; -2971;  +330;+10806
 +4453;  +304;  +700; -2953;  +351;+10808
 +4436;  +305;  +626; -2929;  +343;+10799
 +4399;  +308;  +683; -2924;  +340;+10799
 +4397;  +265;  +677; -2908;  +282;+10791
 +4387;  +238;  +735; -2910;  +250;+10796
 +4383;  +196;  +787; -2888;  +175;+10787
 +4346;  +145;  +834; -2877;  +135;+10789
 +4314;   +73;  +851; -2870;   +90;+10786
 +4265;   +18;  +826; -2855;   +62;+10793
 +4247;   -51;  +786; -2855;   +53;+10793
 +4231;  -121;  +768; -2831;   +30;+10789
 +4203;  -143;  +718; -2822;   +13;+10796
 +4185;  -216;  +725; -2802;   -15;+10787
 +4158;  -190;  +706; -2802;   -38;+10788
 +4135;  -188;  +713; -2811;   -66;+10789
 +4100;  -183;  +692; -2801;   -87;+10769
 +4079;  -175;  +703; -2791;  -118;+10769
 +4083;  -199;  +725; -2788;  -165;+10762
 +4108;  -222;  +719; -2787;  -162;+10749
 +4056;  -233;  +746; -2806;  -183;+10760
 +4050;  -258;  +701; -2789;  -192;+10763
 +4034;  -303;  +617; -2776;  -183;+10763
 +4033;  -305;  +629; -2774;  -175;+10769
 +4037;  -338;  +593; -2767;  -181;+10777
 +4007;  -349;  +628; -2771;  -192;+10761
 +3941;  -365;  +666; -2776;  -220;+10766
 +3954;  -376;  +618; -2781;  -277;+10759
 +3947;  -391;  +614; -2782;  -387;+10749
 +3916;  -399;  +536; -2785;  -524;+10752
 +3898;  -417;  +437; -2801;  -673;+10744
 +3922;  -395;  +346; -2819;  -836;+10761
 +3880;  -384;  +224; -2827; -1018;+10761
 +3873;  -401;  +234; -2788; -1205;+10747
 +3819;  -433;  +298; -2790; -1368;+10760
 +3776;  -444;  +403; -2771; -1531;+10761
 +3767;  -473;  +542; -2750; -1669;+10742
 +3721;  -478;  +596; -2705; -1781;+10760
 +3639;  -544;  +663; -2660; -1893;+10757
 +3660;  -557;  +693; -2610; -1996;+10758
 +3610;  -593;  +709; -2579; -2062;+10737
 +3547;  -644;  +535; -2520; -2118;+10722
 +3533;  -671;  +461; -2447; -2142;+10735
 +3508;  -727;  +486; -2391; -2155;+10717
 +3454;  -748;  +439; -2328; -2118;+10719
 +3468;  -761;  +569; -2292; -2050;+10744
 +3359;  -751;  +602; -2263; -1934;+10717
 +3345;  -770;  +653; -2201; -1785;+10715
 +3294;  -803;  +616; -2168; -1578;+10716
 +3229;  -852;  +608; -2117; -1298;+10701
 +3205;  -899;  +562; -2071;  -991;+10702
 +3141;  -960;  +572; -2044;  -651;+10670
 +3065; -1042;  +477; -2002;  -276;+10665
 +3070; -1065;  +487; -1949;  +141;+10641
 +3069; -1111;  +526; -1907;  +556;+10626
 +3047; -1120;  +623; -1872;  +948;+10606
 +3047; -1122;  +650; -1829; +1373;+10604
 +3044; -1165;  +742; -1804; +1770;+10587
 +3053; -1170;  +707; -1749; +2157;+10574
